group	geonameid	top	left	bottom	right	slug	name
Africa	360630	30.564	30.897	29.761	31.710	cairo	Cairo
Africa	993800	-25.834	27.537	-26.563	28.542	johannesburg	Johannesburg
Africa	2332459	6.910	2.889	6.320	3.834	lagos	Lagos
Asia	323786	40.372	32.105	39.439	33.509	ankara	Ankara
Asia	1609350	15.019	99.569	12.661	101.337	bangkok	Bangkok
Asia	1816670	40.426	115.686	39.414	117.119	beijing	Beijing
Asia	1277333	13.23	77.35	12.75	77.85	bengaluru	Bengaluru
Asia	1264527	13.3	79.9	12.7	80.4	chennai	Chennai
Asia	1819729	23.488	112.780	21.591	115.125	hong-kong	Hong Kong
Asia	1701668	14.900	120.885	14.327	121.200	manila	Manila
Asia	1275339	19.500	72.415	18.466	73.516	mumbai	Mumbai
Asia	1261481	28.969	76.692	28.183	77.733	new-delhi	New Delhi
Asia	1853909	35.031	135.057	34.355	135.892	osaka	Osaka
Asia	1835848	37.980	126.064	37.019	127.525	seoul	Seoul
Asia	1796236	32.472	118.887	29.477	123.787	shanghai	Shanghai
Asia	1880252	1.823	103.062	0.807	104.545	singapore	Singapore
Asia	1668341	25.129	121.401	24.947	121.667	taipei		Taipei
Asia	112931	35.917	50.87	35.383	51.648	tehran	Tehran
Asia	1850147	36.558	138.779	34.867	141.152	tokyo	Tokyo
Europe	2759794	52.629	4.465	52.163	5.347	amsterdam	Amsterdam
Europe	2759794	38.365	22.949	37.514	24.421	athens	Athens
Europe	3128760	41.687	1.734	41.075	2.496	barcelona	Barcelona
Europe	2950159	52.994	12.260	51.849	14.699	berlin	Berlin
Europe	2655603	52.794	-2.536	52.214	-1.267	birmingham	Birmingham
Europe	3031582	45.065	-0.900	44.569	-0.162	bordeaux	Bordeaux
Europe	3078610	49.357	16.268	48.951	16.940	brno	Brno
Europe	2800866	51.053	3.981	50.645	4.761	brussels	Brussels
Europe	3054643	47.861	18.347	47.025	19.780	budapest	Budapest
Europe	2618425	55.950	11.894	55.491	13.147	copenhagen	Copenhagen
Europe	2650225	56.132	-3.585	55.783	-2.835	edinburgh	Edinburgh
Europe	3176959	43.983	10.982	43.601	11.504	florence	Florence
Europe	2925533	50.447	7.811	49.632	9.442	frankfurt	Frankfurt
Europe	3099434	54.870	18.174	54.007	19.113	gdansk	Gdansk
Europe	2648579	56.034	-4.613	55.668	-3.935	glasgow	Glasgow
Europe	2911298	53.833	9.376	53.159	10.678	hamburg	Hamburg
Europe	745044	41.421	28.313	40.738	29.678	istanbul	Istanbul
Europe	3094802	50.240	19.594	49.850	20.275	krakow	Krakow
Europe	2644688	53.921	-1.717	53.697	-1.33	leeds	Leeds
Europe	2998324	50.800	2.823	50.469	3.389	lille	Lille
Europe	2267057	39.150	-9.634	38.358	-8.458	lisbon	Lisbon
Europe	2996944	46.191	4.136	45.305	5.517	lyon	Lyon
Europe	2643743	51.984	-1.115	50.941	0.895	london	London
Europe	3117735	40.839	-4.293	39.889	-3.057	madrid	Madrid
Europe	2643123	53.672	-2.588	53.237	-1.877	manchester	Manchester
Europe	2995469	43.554	4.905	43.038	5.776	marseille	Marseille
Europe	524901	56.200	36.870	55.285	38.430	moscow	Moscow
Europe	2867714	48.523	10.799	47.717	12.178	munich	Munich
Europe	2988507	49.178	1.851	48.531	2.911	paris	Paris
Europe	3067696	50.408	13.842	49.763	15.012	prague	Prague
Europe	3169070	42.130	12.109	41.578	12.845	rome	Rome
Europe	2747891	52.109	3.911	51.737	4.784	rotterdam	Rotterdam
Europe	727011	43.040	22.870	42.380	23.830	sofia	Sofia
Europe	2673730	59.908	17.061	58.850	19.055	stockholm	Stockholm
Europe	498817	60.345	29.168	59.556	31.173	st-petersburg	Saint Petersburg
Europe	2972315	43.838	1.062	43.327	1.779	toulouse	Toulouse
Europe	756135	52.623	20.341	51.845	21.692	warsaw	Warsaw
